Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
120,1,2,12.0,0,0,15.75,1.0,0.0,0.0,0.0,1.0
121,0,3,30.0,1,0,7.75,0.0,1.0,0.0,1.0,0.0
122,1,1,35.0,1,0,57.75,1.0,0.0,1.0,0.0,0.0
123,0,3,28.0,0,0,7.25,0.0,1.0,0.0,0.0,1.0
124,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
125,1,3,17.0,0,1,16.1,1.0,0.0,0.0,0.0,1.0
126,0,3,22.0,0,0,7.7958,0.0,1.0,0.0,0.0,1.0
127,1,3,30.0,2,0,23.25,1.0,0.0,0.0,1.0,0.0
128,0,2,42.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
129,0,3,24.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
130,0,3,32.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
131,0,1,53.0,0,0,28.5,0.0,1.0,1.0,0.0,0.0
132,1,3,30.0,0,4,25.4667,1.0,0.0,0.0,0.0,1.0
133,0,3,30.0,1,0,6.4375,0.0,1.0,1.0,0.0,0.0
134,0,3,43.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
135,0,3,24.0,0,0,7.8542,0.0,1.0,0.0,0.0,1.0
136,0,3,26.5,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
137,0,2,26.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
138,1,3,23.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0
139,0,3,40.0,1,6,46.9,0.0,1.0,0.0,0.0,1.0
140,1,3,10.0,5,2,46.9,1.0,0.0,0.0,0.0,1.0
141,1,1,33.0,0,0,151.55,1.0,0.0,0.0,0.0,1.0
142,0,1,61.0,1,3,262375.0,0.0,1.0,1.0,0.0,0.0
143,0,2,28.0,0,0,26.0,0.0,1.0,0.0,0.0,1.0
144,0,1,42.0,0,0,26.55,0.0,1.0,0.0,0.0,1.0
145,0,3,31.0,3,0,18.0,0.0,1.0,0.0,0.0,1.0
146,0,1,30.0,0,0,51.8625,0.0,1.0,0.0,0.0,1.0
147,0,3,22.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
148,0,1,30.0,0,0,26.55,0.0,1.0,0.0,0.0,1.0
149,0,2,30.0,1,1,26.0,0.0,1.0,0.0,0.0,1.0
150,1,1,23.0,0,1,83.1583,1.0,0.0,1.0,0.0,0.0
151,0,3,30.0,0,0,7.8958,0.0,1.0,1.0,0.0,0.0
152,0,3,60.5,0,0,30.0,0.0,1.0,0.0,0.0,1.0
153,1,3,36.0,0,2,12.1833,1.0,0.0,0.0,0.0,1.0
154,0,3,13.0,4,2,31.3875,0.0,1.0,0.0,0.0,1.0
155,0,3,24.0,0,0,7.55,0.0,1.0,0.0,0.0,1.0
156,1,1,29.0,0,0,221.7792,1.0,0.0,0.0,0.0,1.0
157,1,3,23.0,0,0,7.8542,1.0,0.0,0.0,0.0,1.0
158,0,1,42.0,0,0,26.55,0.0,1.0,0.0,0.0,1.0
159,1,3,26.0,0,2,13775.0,1.0,0.0,0.0,0.0,1.0
160,1,3,30.0,0,0,7.7333,1.0,0.0,0.0,1.0,0.0
161,0,3,7.0,1,1,15.2458,0.0,1.0,1.0,0.0,0.0
162,1,2,26.0,0,0,13.5,1.0,0.0,0.0,0.0,1.0
163,0,3,30.0,0,0,7.0,0.0,1.0,0.0,0.0,1.0
164,0,2,41.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
165,1,3,26.0,1,1,22025.0,1.0,0.0,0.0,0.0,1.0
166,0,1,48.0,0,0,50.4958,0.0,1.0,1.0,0.0,0.0
167,0,3,18.0,2,2,34375.0,0.0,1.0,0.0,0.0,1.0
168,1,1,30.0,0,0,27.7208,1.0,0.0,1.0,0.0,0.0
169,1,3,22.0,0,0,8.9625,1.0,0.0,0.0,0.0,1.0
170,0,3,30.0,0,0,7.55,0.0,1.0,0.0,0.0,1.0
171,0,3,27.0,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
172,0,3,23.0,1,0,13.9,0.0,1.0,0.0,0.0,1.0
173,0,3,30.0,0,0,7.2292,0.0,1.0,1.0,0.0,0.0
174,0,3,40.0,1,5,31.3875,0.0,1.0,0.0,0.0,1.0
175,1,2,15.0,0,2,39.0,1.0,0.0,0.0,0.0,1.0
176,1,2,20.0,0,0,36.75,1.0,0.0,0.0,0.0,1.0
177,0,1,54.0,1,0,55.4417,0.0,1.0,1.0,0.0,0.0
178,1,2,36.0,0,3,39.0,1.0,0.0,0.0,0.0,1.0
179,1,1,64.0,0,2,83.1583,1.0,0.0,1.0,0.0,0.0
180,0,2,30.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
181,0,1,37.0,1,1,83.1583,0.0,1.0,1.0,0.0,0.0
182,1,1,18.0,1,0,53.1,1.0,0.0,0.0,0.0,1.0
183,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
184,1,1,27.0,1,1,247.5208,1.0,0.0,1.0,0.0,0.0
185,0,2,40.0,0,0,16.0,0.0,1.0,0.0,0.0,1.0
186,1,2,21.0,0,1,21.0,1.0,0.0,0.0,0.0,1.0
187,0,3,17.0,2,0,8.05,0.0,1.0,0.0,0.0,1.0
188,1,3,30.0,8,2,69.55,1.0,0.0,0.0,0.0,1.0
189,0,2,40.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
190,0,2,34.0,1,0,26.0,0.0,1.0,0.0,0.0,1.0
191,0,1,30.0,0,0,26.0,0.0,1.0,0.0,0.0,1.0
192,0,3,11.5,1,1,14.5,0.0,1.0,0.0,0.0,1.0
193,0,2,61.0,0,0,12.35,0.0,1.0,0.0,1.0,0.0
194,0,2,8.0,0,2,32.5,0.0,1.0,0.0,0.0,1.0
195,0,3,33.0,0,0,7.8542,0.0,1.0,0.0,0.0,1.0
196,0,1,6.0,0,2,134.5,0.0,1.0,1.0,0.0,0.0
197,1,3,18.0,0,0,7775.0,1.0,0.0,0.0,0.0,1.0
198,0,2,23.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
199,1,3,30.0,0,0,8.1125,1.0,0.0,0.0,0.0,1.0
200,1,3,30.0,0,0,15.5,1.0,0.0,0.0,1.0,0.0
201,0,3,0.33,0,2,14.4,0.0,1.0,0.0,0.0,1.0
202,0,1,47.0,1,0,227525.0,0.0,1.0,1.0,0.0,0.0
203,1,2,8.0,1,1,26.0,1.0,0.0,0.0,0.0,1.0
204,0,2,25.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
205,0,1,30.0,0,0,25.7417,0.0,1.0,1.0,0.0,0.0
206,1,3,35.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
207,0,2,24.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
208,1,1,33.0,0,0,27.7208,1.0,0.0,1.0,0.0,0.0
209,0,3,25.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
210,0,3,32.0,0,0,22525.0,0.0,1.0,0.0,0.0,1.0
211,0,3,30.0,0,0,7.05,0.0,1.0,0.0,0.0,1.0
212,0,2,17.0,0,0,73.5,0.0,1.0,0.0,0.0,1.0
213,1,2,60.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0
214,1,3,38.0,4,2,7775.0,1.0,0.0,0.0,0.0,1.0
215,0,1,42.0,0,0,42.5,0.0,1.0,0.0,0.0,1.0
216,1,3,30.0,0,0,7.8792,1.0,0.0,0.0,1.0,0.0
217,0,1,57.0,1,1,164.8667,0.0,1.0,0.0,0.0,1.0
218,1,1,50.0,1,1,211.5,1.0,0.0,1.0,0.0,0.0
219,0,3,30.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
220,1,2,30.0,1,0,13.8583,1.0,0.0,1.0,0.0,0.0
221,0,3,21.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
222,1,2,22.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0
223,0,3,21.0,0,0,7.7958,0.0,1.0,0.0,0.0,1.0
224,1,1,53.0,0,0,27.4458,1.0,0.0,1.0,0.0,0.0
225,1,3,30.0,0,2,15.2458,1.0,0.0,1.0,0.0,0.0
226,0,3,23.0,0,0,7.7958,0.0,1.0,0.0,0.0,1.0
227,1,3,30.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
228,0,3,40.5,0,0,15.1,0.0,1.0,0.0,0.0,1.0
229,0,2,36.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
230,0,2,14.0,0,0,65.0,0.0,1.0,0.0,0.0,1.0
231,1,1,21.0,0,0,26.55,1.0,0.0,0.0,0.0,1.0
232,0,3,21.0,1,0,6.4958,0.0,1.0,0.0,0.0,1.0
233,0,3,30.0,0,0,7.8792,0.0,1.0,0.0,1.0,0.0
234,0,1,39.0,1,0,71.2833,0.0,1.0,1.0,0.0,0.0
235,0,3,20.0,0,0,7.8542,0.0,1.0,0.0,0.0,1.0
236,0,1,64.0,1,0,75.25,0.0,1.0,1.0,0.0,0.0
237,0,3,20.0,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
238,1,2,18.0,1,1,13.0,1.0,0.0,0.0,0.0,1.0
239,1,1,48.0,1,0,106425.0,1.0,0.0,1.0,0.0,0.0
240,1,1,55.0,0,0,27.7208,1.0,0.0,1.0,0.0,0.0
241,1,2,45.0,0,2,30.0,1.0,0.0,0.0,0.0,1.0
242,0,1,45.0,1,1,134.5,0.0,1.0,1.0,0.0,0.0
243,0,3,30.0,0,0,7.8875,0.0,1.0,0.0,0.0,1.0
244,0,3,30.0,1,2,23.45,0.0,1.0,0.0,0.0,1.0
245,0,1,41.0,1,0,51.8625,0.0,1.0,0.0,0.0,1.0
246,1,2,22.0,0,0,21.0,1.0,0.0,0.0,0.0,1.0
247,0,2,42.0,1,1,32.5,0.0,1.0,0.0,0.0,1.0
248,1,2,29.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0
249,1,3,30.0,1,0,14.4542,1.0,0.0,1.0,0.0,0.0
250,1,2,0.92,1,2,27.75,1.0,0.0,0.0,0.0,1.0
251,0,3,20.0,0,0,7925.0,0.0,1.0,0.0,0.0,1.0
252,0,1,27.0,1,0,136.7792,0.0,1.0,1.0,0.0,0.0
253,0,3,24.0,0,0,9325.0,0.0,1.0,0.0,0.0,1.0
254,0,3,32.5,0,0,9.5,0.0,1.0,0.0,0.0,1.0
255,0,3,30.0,0,0,7.55,0.0,1.0,0.0,0.0,1.0
256,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
257,0,3,28.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
258,1,2,19.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0
259,0,3,21.0,0,0,7775.0,0.0,1.0,0.0,0.0,1.0
260,0,3,36.5,1,0,17.4,0.0,1.0,0.0,0.0,1.0
261,0,3,21.0,0,0,7.8542,0.0,1.0,0.0,0.0,1.0
262,1,2,29.0,0,2,23.0,1.0,0.0,0.0,0.0,1.0
263,1,3,1.0,1,1,12.1833,1.0,0.0,0.0,0.0,1.0
264,0,2,30.0,0,0,12.7375,0.0,1.0,1.0,0.0,0.0
265,0,3,30.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
266,0,1,30.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
267,0,3,30.0,0,0,7.55,0.0,1.0,0.0,0.0,1.0
268,1,3,30.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0
269,0,3,17.0,0,0,8.6625,0.0,1.0,0.0,0.0,1.0
270,0,1,46.0,0,0,75.2417,0.0,1.0,1.0,0.0,0.0
271,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
272,1,1,26.0,1,0,136.7792,1.0,0.0,1.0,0.0,0.0
273,1,3,30.0,1,0,15.5,1.0,0.0,0.0,1.0,0.0
274,0,3,30.0,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
275,1,2,20.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0
276,0,2,28.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
277,0,2,40.0,1,0,26.0,0.0,1.0,0.0,0.0,1.0
278,0,2,30.0,1,0,21.0,0.0,1.0,0.0,0.0,1.0
279,0,2,22.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
280,1,3,23.0,0,0,8.6625,1.0,0.0,0.0,0.0,1.0
281,0,3,0.75,1,1,13775.0,0.0,1.0,0.0,0.0,1.0
282,1,3,30.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
283,1,3,9.0,1,1,15.2458,1.0,0.0,1.0,0.0,0.0
284,1,3,2.0,1,1,20.2125,1.0,0.0,0.0,0.0,1.0
285,0,3,36.0,0,0,7.25,0.0,1.0,0.0,0.0,1.0
286,0,3,30.0,0,0,7.25,0.0,1.0,0.0,0.0,1.0
287,0,1,24.0,1,0,82.2667,0.0,1.0,0.0,0.0,1.0
288,0,3,30.0,0,0,7.2292,0.0,1.0,1.0,0.0,0.0
289,0,3,30.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
290,0,1,30.0,0,0,39.6,0.0,1.0,0.0,0.0,1.0
291,1,3,30.0,0,0,6.95,1.0,0.0,0.0,1.0,0.0
292,0,3,30.0,0,0,7.2292,0.0,1.0,1.0,0.0,0.0
293,0,1,53.0,1,1,81.8583,0.0,1.0,0.0,0.0,1.0
294,0,3,36.0,0,0,9.5,0.0,1.0,0.0,0.0,1.0
295,0,3,26.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
296,1,2,1.0,1,2,41.5792,1.0,0.0,1.0,0.0,0.0
297,0,3,30.0,2,0,21.6792,0.0,1.0,1.0,0.0,0.0
298,0,1,30.0,0,0,45.5,0.0,1.0,0.0,0.0,1.0
299,0,3,29.0,0,0,7.8542,0.0,1.0,0.0,0.0,1.0
300,0,3,32.0,0,0,7775.0,0.0,1.0,0.0,0.0,1.0
301,0,2,30.0,0,0,15.0458,0.0,1.0,1.0,0.0,0.0
302,0,2,43.0,0,1,21.0,0.0,1.0,0.0,0.0,1.0
303,0,3,24.0,0,0,8.6625,0.0,1.0,0.0,0.0,1.0
304,1,3,30.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
305,1,1,64.0,1,1,26.55,1.0,0.0,0.0,0.0,1.0
306,0,1,30.0,1,2,151.55,0.0,1.0,0.0,0.0,1.0
307,0,3,0.83,0,1,9.35,0.0,1.0,0.0,0.0,1.0
308,0,1,55.0,1,1,93.5,0.0,1.0,0.0,0.0,1.0
309,1,3,45.0,1,0,14.1083,1.0,0.0,0.0,0.0,1.0
310,0,3,18.0,0,0,8.6625,0.0,1.0,0.0,0.0,1.0
311,0,3,22.0,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
312,0,3,30.0,0,0,7575.0,0.0,1.0,0.0,0.0,1.0
313,1,3,37.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
314,1,1,55.0,0,0,135.6333,1.0,0.0,1.0,0.0,0.0
315,1,3,17.0,0,0,7.7333,1.0,0.0,0.0,1.0,0.0
316,0,1,57.0,1,0,146.5208,0.0,1.0,1.0,0.0,0.0
317,0,2,19.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
318,0,3,27.0,0,0,7.8542,0.0,1.0,0.0,0.0,1.0
319,0,2,22.0,2,0,31.5,0.0,1.0,0.0,0.0,1.0
320,0,3,26.0,0,0,7775.0,0.0,1.0,0.0,0.0,1.0
321,0,3,25.0,0,0,7.2292,0.0,1.0,1.0,0.0,0.0
322,0,2,26.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
323,0,1,33.0,0,0,26.55,0.0,1.0,0.0,0.0,1.0
324,1,1,39.0,0,0,211.3375,1.0,0.0,0.0,0.0,1.0
325,0,3,23.0,0,0,7.05,0.0,1.0,0.0,0.0,1.0
326,1,2,12.0,2,1,39.0,1.0,0.0,0.0,0.0,1.0
327,0,1,46.0,0,0,79.2,0.0,1.0,1.0,0.0,0.0
328,0,2,29.0,1,0,26.0,0.0,1.0,0.0,0.0,1.0
329,0,2,21.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
330,1,2,48.0,0,2,36.75,1.0,0.0,0.0,0.0,1.0
331,0,1,39.0,0,0,29.7,0.0,1.0,1.0,0.0,0.0
332,0,3,30.0,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
333,1,3,19.0,1,1,15.7417,1.0,0.0,1.0,0.0,0.0
334,0,3,27.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
335,0,1,30.0,0,0,26.0,0.0,1.0,0.0,0.0,1.0
336,0,2,32.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
337,0,3,39.0,0,2,7.2292,0.0,1.0,1.0,0.0,0.0
338,0,2,25.0,0,0,31.5,0.0,1.0,0.0,0.0,1.0
339,0,3,30.0,0,0,7.2292,0.0,1.0,1.0,0.0,0.0
340,0,2,18.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
341,0,3,32.0,0,0,7.5792,0.0,1.0,0.0,0.0,1.0
342,0,3,30.0,1,9,69.55,0.0,1.0,0.0,0.0,1.0
343,1,1,58.0,0,1,512.3292,1.0,0.0,1.0,0.0,0.0
344,0,3,30.0,1,1,14.5,0.0,1.0,0.0,0.0,1.0
345,1,3,16.0,0,0,7.65,1.0,0.0,0.0,0.0,1.0
346,0,2,26.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
347,1,3,38.0,0,0,7.2292,1.0,0.0,1.0,0.0,0.0
348,0,2,24.0,0,0,13.5,0.0,1.0,0.0,0.0,1.0
349,1,2,31.0,0,0,21.0,1.0,0.0,0.0,0.0,1.0
350,1,1,45.0,0,1,63.3583,1.0,0.0,1.0,0.0,0.0
351,0,2,25.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0
352,0,2,18.0,0,0,73.5,0.0,1.0,0.0,0.0,1.0
353,0,2,49.0,1,2,65.0,0.0,1.0,0.0,0.0,1.0
354,1,3,0.17,1,2,20575.0,1.0,0.0,0.0,0.0,1.0
355,0,1,50.0,0,0,26.0,0.0,1.0,0.0,0.0,1.0
356,1,1,59.0,2,0,51.4792,1.0,0.0,0.0,0.0,1.0
357,0,3,30.0,0,0,7.8792,0.0,1.0,0.0,0.0,1.0
358,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
359,1,3,30.0,1,0,15.55,1.0,0.0,0.0,0.0,1.0
